Tow Date,Vehicle Year,Vehicle Make,Vehicle Model,Tow Reason,Storage Company,Notes,Incident Date,Location,City,Geo-location field
04/30/2020,4,GMC,SAV,NOP,henrys,,05/02/0020,16 STATE CT,GAITHERSBURG,POINT (-77.180855 39.143028)
04/09/2020,2004,CHRY,300,FIRE,tcl,FIRE LANE / AUBURN 301-977-2740 // TCL,09/22/0004,GINGER CT / CINNAMON DR,GERMANTOWN,
10/10/2020,1990,ISU,AMG,NOP,OTHER,NOP // GRACE TOWING (240)477-7191 - TCL,10/22/0010,DOCENA DR / NATHANS PL,MONTGOMERY VILLAGE,
05/17/2020,2014,JEEP,CHE,PRV,tcl,,05/19/0020,18420 GUILDBERRY DR,GAITHERSBURG,POINT (-77.162828 39.160132)
04/20/2020,2015,LEXS,250,NOP,TCL,NOP // A&M 301-421-0953 TCL,04/22/0020,TOWNE CREST DR / LARCHMONT TER,GAITHERSBURG,
02/28/2020,2013,HOND,CIV,NOP,TCL,INV PERMIT // HENRYS 301 927 0007 // TCL,02/28/2020,115 HEATH PL,BETHESDA,
05/18/2020,2017,BMW,MS6,PKG,henrys,"PKG  HENRYS,  301-869-4800, TCL",05/20/0020,7411 ASPEN CT,TAKOMA PARK,POINT (-76.998141 38.980389)
02/20/2020,2019,HOND,CIV,NOP,TCL,"PARKED IN RESERVED, NOP // AUBURN @ 301-977-2740 // TCL",02/20/2020,SESAME SEED CT / CINNAMON DR,GERMANTOWN,
04/13/2020,2019,NISS,VRS,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,04/15/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
04/09/2020,2005,TOYT,COA,PKG,PRESTIGE,PARKED IN HANDICAP SPOT WITHOUT PLACARD OR TAG // PRESTIGE @ 301-377-9285 // TCL,09/22/0004,1970 ROSEMARY HILLS DR,SILVER SPRING,POINT (-77.042077 38.999696)
04/25/2020,2009,CHEV,CBT,PKG,TCL,PARKED IN FIRE LANE // HENRYS 301-869-4800// TCL,04/27/0020,2800 SHEPPERTON TER,SILVER SPRING,POINT (-76.951448 39.083196)
04/30/2020,15,FORD,F150,NOP,TCL,NOP HENRY'S 301 869 4800 //TCL,05/02/0020,18710 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204414 39.163187)
04/24/2020,2018,INFI,Q50,PKG,Authorized,PARKED IN FIRE LANE // AUTHORIZED // 3015624020 // TCL,04/26/0020,18645 PIER POINT PL,MONTGOMERY VILLAGE,POINT (-77.198325 39.160505)
04/10/2020,2007,HYUN,ELN,PKG,TCL,RESERVED SPACE // PRESTIGE // 301-377-9285 // TCL,10/22/0004,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
04/11/2020,2014,ACUR,ILX,NOP,tcl,NOP AUBURN 301-977-2740,11/22/0004,ALLSPICE DR / CLOPPER RD,GERMANTOWN,
04/12/2020,2015,NISS,ALT,NOP,Henrys,NO PERMIT  HENRYS 301-869-4800,12/22/0004,18451 MATENY RD,GERMANTOWN,POINT (-77.266342 39.15778)
04/14/2020,2014,CHEV,CRZ,NOP,TCL,HENRYS 301-869-4800   NOP   TCL,04/16/0020,9800 WALKER HOUSE RD,MONTGOMERY VILLAGE,POINT (-77.20679 39.162847)
04/05/2020,2015,HYUN,GEN,NOP,A&M,A&M TOW 301-421-0953//NOP//TCL,05/22/0004,18931 SNOW FIELDS CIR,GERMANTOWN,POINT (-77.250936 39.165158)
04/14/2020,2008,CHEV,EXP,NOP,Henry's,EXP PERMIT HENRYS 301 869 4800 TCL,04/16/0020,950 WEST SIDE DR,GAITHERSBURG,POINT (-77.204068 39.125395)
04/12/2020,2018,HOND,PLT,PKG,tcl,"ILLEGALLY PKD, PKD OVERNIGHT// CUSTOM, 301-253-5151, TCL",12/22/0004,198 HALPINE RD,ROCKVILLE,POINT (-77.125832 39.06084)
04/01/2020,2013,NISS,VRS,NOP,tcl,NOP // HENRYS 301-927-0007 // TCL,01/22/0004,2 TURTLE DOVE CT,GAITHERSBURG,POINT (-77.187088 39.177899)
04/09/2020,2008,TOYT,YARIS,PKG,tcl,DOUBLE PARKED // HENRYS @ 301-869-4800 // TCL,09/22/0004,20303 GENTLE WAY,MONTGOMERY VILLAGE,POINT (-77.19326 39.189554)
04/24/2020,2014,MAZD,CX5,NOP,auburn,AUBURN 301-977-2740  NOP,04/26/0020,374 N SUMMIT AVE,GAITHERSBURG,POINT (-77.193068 39.149053)
04/21/2020,2008,GMC,ENV,NOP,TCL,NO PERMIT // HENRY'S // 301 869 4800 // TCL,04/23/0020,8130 PEPPERWOOD LN,GAITHERSBURG,POINT (-77.167129 39.145024)
04/24/2020,2016,NISS,MAX,NOP,tcl,NOP   AUTHORIZE 301-562-4020 TCL,04/26/0020,13831 CASTLE BLVD,SILVER SPRING,POINT (-76.942666 39.083117)
04/01/2020,2016,TOYT,HGH,FIRE,TCL,PARKED IN FIRE LANE// PRESTIGUE TOWING//301-377-9285//TCL,01/22/0004,1970 ROSEMARY HILLS DR,SILVER SPRING,POINT (-77.042077 38.999696)
04/14/2020,2013,HOND,CIV,IMP,tcl,AUTHORIZED TOWING 301-562-4020 TO TCL FOR NOP,04/16/0020,8021 GEORGIA AVE,SILVER SPRING,POINT (-77.026573 38.987758)
04/30/2020,2003,BUIC,LES,PKG,tcl,PARKED IN NO PKG ZONE // AUTHORIZED // 301-562-4020 // TCL,05/02/0020,19101 CAPEHART DR,MONTGOMERY VILLAGE,POINT (-77.217325 39.169505)
04/13/2020,2010,LEXS,R45,NOP,henrys,NO  PERMIT // HENRYS 301 869 4800 // TCL,04/15/0020,19030 MILLS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.208317 39.167912)
04/07/2020,2007,HYUN,SON,NOP,SPEEDY,SPEEDY 301-588-1322 // NOP // TCL,07/22/0004,18211 CHALET DR,GERMANTOWN,POINT (-77.274616 39.156234)
04/20/2020,2019,NISS,ALT,NOP,AUTHORIZED,AUTHORIZED 301-562-4020 // NOP // TCL,04/22/0020,3510 PEAR TREE CT,SILVER SPRING,POINT (-77.069827 39.089314)
04/06/2020,2018,TOYT,CHR,NOP,Authorized,NOP AUTH 301 562 4020 TCL,06/22/0004,3310 TEAGARDEN CIR,SILVER SPRING,POINT (-76.944438 39.081748)
04/26/2020,2006,MERC,MTN,NOP,Authorized,NO PERMIT // AUTHORIZED TOWING 301-562-4020 // TCL,04/28/0020,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
04/10/2020,2005,BUIC,LES,NOP,BIG TOW TOWING,NO PERMIT / BIG TOW/ 3014244869 / TCL,10/22/0004,6817 FAIRFAX RD,BETHESDA,POINT (-77.101227 38.978732)
04/11/2020,2020,NISS,RGE,NOP,AUTHORIZED,NOP AUTHORIZED  301-562-4020 TCL,11/22/0004,13831 CASTLE BLVD,SILVER SPRING,POINT (-76.942666 39.083117)
04/23/2020,2019,CADI,XT5,PKG,TCL,HANDICAP PKG W/O TAG OR PERMIT // AUTHORIZED 301-562-4020 // TCL,04/25/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
04/11/2020,2016,HONQ,CIV,NOP,TCL,NOP// LED TOWING  301-556-8006// TCL,11/22/0004,14136 GRAND PRE RD,SILVER SPRING,POINT (-77.074991 39.08844)
04/18/2020,2008,NISS,ALT,NOP,AM TOWING,NOP A&M 301 421 0953 TCL,04/20/0020,12140 FLAG HARBOR DR,GERMANTOWN,POINT (-77.252892 39.164512)
04/30/2020,2019,VOLK,ATLAS,NOP,TCL,NOP // SPEEDY 301-588-1322 TCL,05/02/0020,9328 TAVERNEY TER,GAITHERSBURG,POINT (-77.192194 39.176005)
04/06/2020,8,BMW,530,NOP,tcl,NO PERMIT // HENRYS TOWING 301-869-4800 // BTL,06/22/0004,3411 GATESHEAD MANOR WAY,SILVER SPRING,POINT (-76.936504 39.078224)
04/05/2020,2016,DODG,CHA,PKG,tcl,AUTH / 301-562-4020  HANDICAP / TCL,05/22/0004,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
04/02/2020,2008,TOYT,PRI,PKG,DIVERSIFIED,DIVERSIFIED 301-801-8035 // VEH PARKED IN DRIVEWAY // TCL,02/22/0004,4716 BRADLEY BLVD,CHEVY CHASE,POINT (-77.092317 38.977714)
04/16/2020,2012,DODG,CVN,NOP,tcl,NOP // AUTHORIZED // 301-562-4020 // TCL,04/18/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
04/19/2020,2003,MERZ,E32,NOP,tcl,NO PERMIT // AUTHORIZED // 301-562-4020 // TCL,04/21/0020,3300 TEAGARDEN CIR,SILVER SPRING,POINT (-76.944111 39.080737)
04/13/2020,2018,FORD,FIE,PKG,TCL,PRESTIGE 301-377-9285 // PARKED IN RESERVED SPACE // TCL,04/15/0020,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
04/25/2020,2017,NISS,RGE,NOP,Drive,INVALID PERMIT // DRIVE // 3015858808 // TCL,04/27/0020,1707 MT PISGAH LN,SILVER SPRING,POINT (-76.974938 39.014827)
04/08/2020,17,MERZ,C300,NOP,Henry's,NOP // HENRYS @ 301-869-4800 // TCL,08/22/0004,10201 WASHINGTONIAN BLVD,GAITHERSBURG,POINT (-77.206538 39.118032)
04/22/2020,2005,TOYT,SNA,PKG,TCL,PKG - NO HANDICAP PERMIT // HENRY'S // 301-869-4800 // TCL,04/24/0020,13639 HARVEST GLEN WAY,GERMANTOWN,POINT (-77.278598 39.176018)
04/19/2020,2001,CHEV,SUB,NOP,TCL,"NOP // AUTHORIZED 301 562 4020 ,TCL",04/21/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
04/21/2020,2007,FORD,F15,PRV,tcl,PRV - PRESTIGE - 301-377-9285 - TCL,04/23/0020,429 W DIAMOND AVE,GAITHERSBURG,POINT (-77.208879 39.14042)
04/10/2020,2015,MITS,MIR,FIRE,tcl,"FIRE LANE// HENRY'S, 301-869-4800, TCL",10/22/0004,20200 SPRING HAVEN CT,MONTGOMERY VILLAGE,POINT (-77.190888 39.188782)
04/11/2020,15,FORD,FOC,PKG,CUSTOM,PKG/CUSTOM 301 253 5151,11/22/0004,18326 CONTOUR RD,GAITHERSBURG,POINT (-77.200473 39.155261)
04/29/2020,2003,ACUR,ATL,NOP,tcl,AUTHORIZED TOWING 301-562-4020 TO TCL FOR NOP,05/01/0020,19757 CRYSTAL VIEW CT,GERMANTOWN,POINT (-77.22855 39.179189)
04/20/2020,2009,MERZ,C30,NOP,HENRYS,HENRYS 301-869-4800 // NOP // TCL,04/22/0020,12907 WOODCUTTER CIR,GERMANTOWN,POINT (-77.266861 39.206544)
04/30/2020,2013,CHEV,,PKG,TCL,NO COMMERCIAL// HERNYS 301-927-0007/./ TCL,05/02/0020,11933 CRIMSON LN,SILVER SPRING,POINT (-76.974092 39.05252)
04/15/2020,2018,CHEV,MAL,PRV,PRESTIGE,PRV PROP // PRESTIGE @ 301-377-9285 // TCL,04/17/0020,1970 ROSEMARY HILLS DR,SILVER SPRING,POINT (-77.042077 38.999696)
04/09/2020,0,LEXS,ES3,72,SPEEDY,72 HOURS   SPEEDY/3015881322,09/22/0004,14800 CROSSWOOD TER,BURTONSVILLE,POINT (-76.922546 39.096894)
04/24/2020,2011,VOLK,JET,Double parked,drive,DRIVE 3015858808  DOUBLE PARKED,04/26/0020,400 SOUTHAMPTON DR,SILVER SPRING,POINT (-76.982847 39.006045)
04/13/2020,2002,TOYT,RAV,PRV,TCL,PRIVATE PROPERTY // PRESTIGE 301-377-9285 // TCL,04/15/0020,3600 BEL PRE RD,SILVER SPRING,POINT (-77.072797 39.093024)
04/17/2020,2013,KIA,OPI,PKG,tcl,RESEREVED // PRESTIGE // 301-377-9285 // TCL,04/19/0020,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
04/08/2020,2016,INFI,Q50,NOP,TCL,IMPROPER PERMIT DISPLAY // HENRYS 301 869 4800 // TCL,08/22/0004,5901 MONTROSE RD,ROCKVILLE,POINT (-77.1192 39.052973)
04/28/2020,1998,TOYT,CAM,FIRE,TCL,PARKED IN FIRE LANE  AUTHROIZED 301-562-4020 TCL,04/30/0020,2 MANCHESTER PL,SILVER SPRING,POINT (-77.009246 39.001243)
04/24/2020,2012,TOYT,CAM,NOP,Authorized,NOP // AUTHORIZED 301-562-4020 // TCL,04/26/0020,13831 CASTLE BLVD,SILVER SPRING,POINT (-76.942666 39.083117)
04/23/2020,2016,HYUN,ACC,PKG,Authorized,"PKG,   AUTHORIZED, 301-562-4020, TCL",04/25/0020,2 MANCHESTER PL,SILVER SPRING,POINT (-77.009246 39.001243)
04/18/2020,2010,FORD,MUS,NOP,tcl,NOP // AUTHORIZE 301-562-4020 // TCL,04/20/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
04/07/2020,2008,SCIO,TC,PKG,henrys,NO PARKING ZONE // HENRYS // 301-927-0007 // TCL,07/22/0004,2351 HESSE ALY,SILVER SPRING,
04/25/2020,2020,MAZD,CX3,NOP,AUTHORIZED,AUTHORIZED 3015624020  NOP,04/27/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
04/06/2020,3,BMW,X5,NOP,big tow,NOP// BIG TOW 301-424-4869// TCL,06/22/0004,10320 RIDGELINE DR,MONTGOMERY VILLAGE,POINT (-77.207523 39.17523)
04/06/2020,2005,PORS,CAR,PKG,tcl,UNAUTH PKING / HENRYS 301-927-0007 // TCL,06/22/0004,74 STATE CT,GAITHERSBURG,POINT (-77.180497 39.142995)
04/20/2020,2011,DODG,R25,PKG,tcl,HENRY'S TOWING 301-869-4800 TO TCL FOR PKG (NO COMM VEH PERMITTED),04/22/0020,3720 BEL PRE RD,SILVER SPRING,POINT (-77.074435 39.093393)
04/27/2020,16,FORD,FOC,NOP,TCL,NOP // HENRY'S 310 869 4800 TCL,04/29/0020,11101 LITTLE FOX LN,GERMANTOWN,POINT (-77.229263 39.176588)
04/10/2020,2014,TOYT,CAM,NOP,tcl,NOP  AUTHORIZE 301-562-4020 TCL  *OWNER NOTIFIED*,10/22/0004,8800 MANCHESTER RD,SILVER SPRING,POINT (-77.009788 38.999925)
04/05/2020,2019,TOYT,COA,NOP,tcl,NOP // AUTHORIZE 301-562-4020 // TCL,05/22/0004,13929 CASTLE BLVD,SILVER SPRING,POINT (-76.940557 39.084606)
04/17/2020,1997,FORD,CVC,NOP,TCL,NOP// HENRYS 301-927-0007//TCL,04/19/0020,4521 EAST WEST HWY,BETHESDA,POINT (-77.092131 38.984898)
04/22/2020,2003,GMC,YUK,NOP,TCL,REASON: EXPIRED PERMIT//HENRYS/301-869-4800/TCL,04/24/0020,9813 BETHESDA CHURCH RD,DAMASCUS,POINT (-77.20374 39.28355)
04/27/2020,2009,BMW,328,PRV,NULL,PRV PROP// PRESTIGE 301 377 9285// TCL,04/29/0020,3004 BEL PRE RD,SILVER SPRING,POINT (-77.062826 39.091315)
04/05/2020,2006,TOYT,COA,NOP,tcl,NOP // AUTHORIZED 301-562-4020 TCL,05/22/0004,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
04/04/2020,200,TOYT,CAM,NOP,speedy,NOP- SPEEDY- 301-588-1322- TCL,04/22/0004,18011 CALABAR DR,GAITHERSBURG,POINT (-77.164283 39.150346)
04/26/2020,16,CHRY,200,NOP,diversified,DIVERSIFIED // 301-881-8035 // NOP // TCL,04/28/0020,5202 CROSSFIELD CT,ROCKVILLE,POINT (-77.10315 39.057038)
04/17/2020,2019,DODG,CHA,NOP,TCL,NO PERMIT // TCL  AUTHORIZED (301) 562-4020,04/19/0020,14120 WEEPING WILLOW DR,SILVER SPRING,POINT (-77.06692 39.088854)
04/28/2020,2018,AUDI,S4,EXP,tcl,EXP PERMIT // AUTHORIZED @ 301-562-4020 // TCL,04/30/0020,9806 MAHOGANY DR,GAITHERSBURG,POINT (-77.201438 39.114884)
04/16/2020,2014,HOND,CIV,NOP,tcl,NO PERMIT // AUBURN // 301-977-2740 // TCL,04/18/0020,136 DUVALL LN,GAITHERSBURG,POINT (-77.202556 39.128982)
04/04/2020,2017,FORD,TRAN,NOP,TCL,NO PERMIT// HENRYS// 301-869-4800//TCL,04/22/0004,19456 ZINNIA CIR,GERMANTOWN,POINT (-77.243652 39.175115)
04/08/2020,2003,HYUN,ELN,PKG,TCFL,SPEEDY 3015881322  ILL PARKED IFO DUMPSTER   TCL,08/22/0004,8615 FENTON ST,SILVER SPRING,POINT (-77.027717 38.997959)
04/22/2020,2008,TOYT,SNA,NOP,HENRY'S,INVAILD PERMIT /HENRY'S TCL 301-869-4800,04/24/0020,18710 WALKERS CHOICE RD,MONTGOMERY VILLAGE,POINT (-77.204414 39.163187)
04/15/2020,11,BMW,X5,NOP,tcl,NO PERMIT // AUTHORIZED 301-562-4020//TCL,04/17/0020,8021 GEORGIA AVE,SILVER SPRING,POINT (-77.026573 38.987758)
04/16/2020,2011,HOND,ACC,NOP,DRIVE,DRIVE 3015858808  NOP,04/18/0020,75 E WAYNE AVE,SILVER SPRING,POINT (-77.007965 39.001459)
04/23/2020,2013,CHEV,MAL,PKG,TCL,VIN COVERED // PROPERTY MANAGEMENT REQ // CUSTOM 301-253-5151 // TCL,04/25/0020,1370 LAMBERTON DR,SILVER SPRING,POINT (-77.029899 39.040866)
04/17/2020,2018,HYUN,SFE,,NULL,TWO SPACES,04/19/0020,28 LEE AVE,TAKOMA PARK,POINT (-77.005753 38.979225)
04/02/2020,2019,HOND,ACC,NOP,TCL,NOP // AUTHORIZED // 301-562-4020 // TCL,02/22/0004,10914 GEORGIA AVE,SILVER SPRING,POINT (-77.04962 39.035307)
04/22/2020,2007,HYUN,TCN,PKG,TCL,NO PARKING ZONE // AUTHORIZED @ 301-562-04020 // TCL,04/24/0020,9300 BATHGATE CT,MONTGOMERY VILLAGE,POINT (-77.191288 39.192625)
04/21/2020,2014,BUIC,,PKG,TCL,VERANO// PARKED IN FIRE LANE // HENRYS 301-869-4800//TCL,04/23/0020,13200 COUNTRY RIDGE DR,GERMANTOWN,POINT (-77.271493 39.184333)
04/30/2020,2017,JEEP,CHK,PKG,TCL,HENRYS // 301 869 4800 // DOUBLE PARKED // TCL,05/02/0020,635 EDEN PL,GAITHERSBURG,POINT (-77.189238 39.152567)
04/07/2020,2010,HOND,CIV,NOP,TCL,REASON: EXPIRED PERMIT  TOW CO : RICKYS - 301-444-9499  TCL,07/22/0004,820 UNIVERSITY BLVD E,SILVER SPRING,POINT (-76.99322 38.996422)
04/21/2020,2002,TOYT,SNA,PKG,TCL,BLOCKING ALLEY // HENRYS // 301-869-4800 // TCL,04/23/0020,22100 FULMER AVE,CLARKSBURG,POINT (-77.288074 39.217898)
04/05/2020,2011,NIA,VRS,NOP,tcl,NO PERMIT // AUTHORIZED // 301-562-4020 // TCL,05/22/0004,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
04/14/2020,2006,HYUN,AZR,NOP,HENRYS,NOP // HENRYS @ 301-927-0007 // TCL,04/16/0020,7901 BADENLOCH WAY,GAITHERSBURG,POINT (-77.165158 39.157524)
04/16/2020,2012,NISS,ALT,PKG,AUTHORIZED,VEH PARKED IN NO PARKING ZONE // AUTHORIZED 301 562 4020 // TCL,04/18/0020,8703 GILBERT PL,TAKOMA PARK,POINT (-76.997152 38.998384)
04/26/2020,2019,JEEP,CHK,NOP,HENRYS,NOP HENRYS  301-869-48000 TCL,04/28/0020,40 ANNA CT,GAITHERSBURG,POINT (-77.183744 39.145754)
04/14/2020,2016,HOND,CIV,NOP,AM TOWING,NOP // A&M 301-421-0953 // TCL,04/16/0020,12500 SPRING HARBOR PL,GERMANTOWN,POINT (-77.258045 39.168841)
04/02/2020,2017,HOND,ACC,NOP,Henry's,RESERVED SPOT  HENRY 301-869-4800  TCL,02/22/0004,9867 BROOKRIDGE CT,MONTGOMERY VILLAGE,POINT (-77.201352 39.18818)
04/26/2020,2018,NISS,ALT,NOP,authorize,,04/28/0020,19757 CRYSTAL ROCK DR,GERMANTOWN,POINT (-77.261484 39.179888)
04/10/2020,2019,NISS,SEN,NOP,TCL,NOP // HENRYS // 301-869-4800 // TCL,10/22/0004,18739 HARMONY WOODS LN,GERMANTOWN,POINT (-77.271469 39.161991)
04/25/2020,2005,VOLK,JET,EXP,TCL,VIN BLOCKED // EXP PERMIT //  AUTHORIZED // 301-562-4020 // TCL,04/27/0020,4918 ST ELMO AVE,BETHESDA,POINT (-77.097855 38.988416)
04/12/2020,2017,CHEV,MAL,PKG,TCL,DOUBLE PARKED BLOCKING OTHER VEH// HENRYS 301-869-4800//TCL,12/22/0004,10075 SHELLDRAKE CIR,DAMASCUS,POINT (-77.208028 39.279092)
04/10/2020,2008,VOLK,PAS,PKG,HENRY'S,PKG-HENRY'S- 301-869-4800- TCL,10/22/0004,12001 OLD COLUMBIA PIKE,SILVER SPRING,POINT (-76.975033 39.053272)
04/17/2020,2017,HYUN,ACC,NOP,TCL,NOP // AUTHORIZED @ 301.562.4020 // TCL,04/19/0020,13202 BRISTLECONE WAY,GERMANTOWN,POINT (-77.275906 39.185885)
04/12/2020,2017,HOND,CIV,pkg,tcl,HANDICAPPED SPACE W/O PERMIT // HENRYS 301-869-4800,12/22/0004,18906 SMOOTHSTONE WAY,MONTGOMERY VILLAGE,POINT (-77.209205 39.166796)
04/03/2020,2004,CHEV,NULL,NOP,drive,,03/22/0004,1711 HAMPSHIRE GREEN LN,SILVER SPRING,POINT (-76.974121 39.015969)
04/05/2020,2014,NISS,ALT,NOP,CUSTOM TOWING,NOP // CUSTOM 301-253-5151 // TCL,05/22/0004,1226 1ST ST,ROCKVILLE,POINT (-77.134183 39.0932)
04/01/2020,2018,HOND,CIV,PRV,Authorized,RESERVED SPACE  AUTHORIZED 301-562-4020  TCL,01/22/0004,9920 SHELBURNE TER,GAITHERSBURG,POINT (-77.204588 39.116242)
04/05/2020,2019,HOND,FIT,NOP,CUSTOM,NOP//CUSTOM//301-253-5151//TCL,05/22/0004,18507 CARRIAGE WALK CIR,GAITHERSBURG,POINT (-77.167873 39.163787)
04/03/2020,2017,TOYT,COA,PKG,authorize,HANDICAP PARKING ONLY,03/22/0004,9903 BOYSENBERRY WAY,GAITHERSBURG,POINT (-77.206633 39.160549)
04/01/2020,5,TOYT,COA,NOP,TCL,NO PERMIT // A&M TOWING 301-421-0953 TCL,01/22/0004,12144 ISLAND VIEW CIR,GERMANTOWN,POINT (-77.252664 39.16597)
04/16/2020,12,TOYT,COA,NOP,henry's,HENRY'S 301-869-4800 // TCL,04/18/0020,3810 BEL PRE RD,SILVER SPRING,POINT (-77.075148 39.093565)
04/04/2020,2015,NISS,ALT,PKG,AUTHORIZED,EXPIRED PASS / AUTHORIZED 301 562 4020 // TCL,04/22/0004,10914 GEORGIA AVE,SILVER SPRING,POINT (-77.04962 39.035307)
04/28/2020,0,TOYT,RAV,NOP,tcl,NO PERMIT// PRESTIGE 301-377-9285//TCL,04/30/0020,8200 SPICEBERRY LN,GAITHERSBURG,POINT (-77.164221 39.152013)
04/21/2020,2019,SUBA,IMP,NOP,AUTHORIZE,,04/23/0020,2006 BALTIMORE RD,ROCKVILLE,POINT (-77.118366 39.084681)
05/06/2020,2018,TOYT,CAM,NOP,tcl,"NOP// HENRY'S, 301-927-0007, TCL",06/22/0005,3510 ASTON MANOR CT,SILVER SPRING,POINT (-76.935731 39.079891)
04/07/2020,2000,VOLV,V70,FIRE,tcl,FIRE LANE // HENRYS // 301-869-4800 // TCL,07/22/0004,1541 N FALKLAND LN,SILVER SPRING,POINT (-77.034972 38.995599)
04/11/2020,2008,CHEV,IMP,NOP,TCL,MANAGER REQUEST // HENRYS @ 301.869.4800 // TCL,11/22/0004,15917 INDIAN HILLS TER,DERWOOD,POINT (-77.153545 39.117221)
04/01/2020,2002,HOND,ACC,DAV,tcl,FLAT TIRES PER MGMNT // HENRYS // 301-869-4800 // TCL,01/22/0004,20222 LEA POND PL,MONTGOMERY VILLAGE,POINT (-77.190841 39.18832)
04/07/2020,2011,HYUN,SON,NOP,tcl,SPEEDY 301-588-1322 // NOP // TCL,07/22/0004,SANDY LAKE DR / GOSHEN RD,GAITHERSBURG,
04/05/2020,2018,NISS,ALT,NOP,tcl,NO PERMIT // AUTHORZIED // 301-562-4020 // TCL,05/22/0004,11225 OAK LEAF DR,SILVER SPRING,POINT (-76.995468 39.040254)
04/28/2020,2008,TOYT,,PKG,Henry's,HENRYS 301 8694800/ TCL / PKG,04/30/0020,17500 TOWNE CREST DR,GAITHERSBURG,POINT (-77.173713 39.146028)
04/20/2020,2019,NISS,ALT,PKG,tcl,"PKD IN RESERVED SPACE// PRESTIGE, 301-377-9285, TCL",04/22/0020,101 PARK AVE,GAITHERSBURG,POINT (-77.195077 39.144489)
04/26/2020,2012,TOYT,CAM,PKG,TCL,PARKED IN RESERVED SPACE W/ NO PERMIT // AUTHORIZED 301-562-4020 // TCL,04/28/0020,9905 BOYSENBERRY WAY,GAITHERSBURG,POINT (-77.206639 39.160542)
04/11/2020,2016,TOYT,COA,NOP,tcl,NOP // HENRYS @ 301-869-4800 // TCL,11/22/0004,9140 ROTHBURY DR,MONTGOMERY VILLAGE,POINT (-77.189212 39.185518)
04/05/2020,2020,HOND,ACC,,BIG TOW TOWING,HANDICAP VIOLATION // BIG TOW 301-424-4869 // TCL,05/22/0004,8010 NEEDWOOD RD,DERWOOD,POINT (-77.157633 39.125146)
